,0
0,1
1,90
2,195
3,293
4,399
5,527
6,585
7,635
8,737
9,819
10,946
11,1040
12,1196
13,1282
14,1365
15,1488
16,1613
17,1806
18,2057
19,2198
20,2347
21,2481
22,2773
23,3116
24,3439
25,3864
26,4244
27,4431
28,4671
29,4925
30,5259
31,5518
32,5811
33,6031
34,6222
35,6325
36,6493
37,6756
38,7039
39,7359
40,7560
41,7723
42,7916
43,8213
44,8608
45,8997
46,9366
47,9618
48,9791
49,10111
50,10556
51,11019
52,11476
53,12055
54,12463
55,12660
56,12919
57,13311
58,14058
59,14444
60,14908
61,15340
62,15520
63,15798
64,16828
65,17333
66,18137
67,18869
68,19486
69,19847
70,20261
71,21137
72,21934
73,22727
74,23533
75,24191
76,24758
77,25379
78,25966
79,26939
80,28124
81,29063
82,30125
83,30663
84,31652
85,32922
86,33922
87,35481
88,36914
89,38246
90,38772
91,39776
92,40713
93,42073
94,43561
95,44898
96,46326
97,47233
98,48256
99,49618
100,51638
101,53249
102,55104
103,56303
104,57200
105,58206
