,total,confirmed,probable
0,1,,
1,1,,
2,1,,
3,3,,
4,3,,
5,7,,
6,7,,
7,18,,
8,26,,
9,32,,
10,39,,
11,52,,
12,73,,
13,98,,
14,154,,
15,228,,
16,371,,
17,505,,
18,615,,
19,667,,
20,784,,
21,957,,
22,1203,,
23,1373,,
24,1537,,
25,1834,,
26,2239,,
27,2683,,
28,2845,,
29,3067,,
30,3321,,
31,3633,,
32,3802,,
33,4138,,
34,4362,,
35,4634,,
36,4862,,
37,5114,,
38,5308,,
39,5610,,
40,5823,,
41,6079,,
42,6262,,
43,6589,,
44,6762,,
45,7070,,
46,7238,,
47,7394,,
48,7842,,
49,8266,,
50,8726,,
51,9189,,
52,9667,,
53,9918,,
54,10052,,
55,10366,10366.0,
56,10735,10366.0,
57,11891,11891.0,
58,12661,12661.0,
59,13177,13177.0,
60,13571,13502.0,69.0
61,13690,13624.0,66.0
62,13938,13938.0,68.0
63,14096,14096.0,70.0
64,14441,14441.0,71.0
65,14768,14768.0,75.0
66,14985,14985.0,75.0
67,15544,15544.0,78.0
68,16111,16111.0,80.0
69,16370,16370.0,81.0
70,16699,16699.0,85.0
71,16970,16970.0,82.0
72,17288,17288.0,86.0
73,17388,17388.0,107.0
74,18011,18011.0,110.0
75,18378,18378.0,113.0
76,18532,18532.0,114.0
77,18961,18961.0,112.0
78,19394,19394.0,116.0
79,19789,19789.0,120.0
80,20145,20145.0,124.0
81,20607,20607.0,124.0
82,20965,20965.0,124.0
83,21306,21306.0,135.0
84,21679,21679.0,143.0
85,22085,22085.0,151.0
86,22566,22566.0,154.0
87,23006,23006.0,153.0
88,23554,23554.0,155.0
89,24375,24375.0,168.0
90,24822,24822.0,168.0
91,25120,25120.0,169.0
92,25520,25520.0,170.0
93,26071,26071.0,177.0
94,26381,26381.0,180.0
95,26944,26944.0,185.0
96,27575,27575.0,184.0
97,28061,27869.0,192.0
98,28538,28340.0,198.0
99,29126,28942.0,184.0
100,29541,29340.0,201.0
101,30432,30255.0,177.0
102,31160,30951.0,209.0
103,31830,31612.0,218.0
104,32143,31914.0,229.0
105,32829,32595.0,234.0
106,34017,33776.0,241.0
107,34446,34207.0,239.0
108,35102,34854.0,248.0
109,35553,35302.0,251.0
110,36303,36048.0,255.0
111,37235,36969.0,266.0
112,38034,37753.0,281.0
113,39444,39149.0,295.0
114,40172,39848.0,324.0
115,40172,39848.0,324.0
116,42297,41949.0,348.0
117,43509,43161.0,348.0
118,45315,44951.0,364.0
119,46890,46520.0,370.0
120,48712,48344.0,368.0
121,50140,49768.0,372.0
122,51431,51061.0,370.0
123,52155,51774.0,381.0
124,53514,53116.0,398.0
125,55986,55567.0,419.0
126,57591,57153.0,438.0
127,59546,59085.0,461.0
128,61006,60508.0,498.0
129,61960,61443.0,517.0
130,65274,64737.0,537.0
131,66788,66220.0,568.0
132,69061,68441.0,620.0
133,71540,70881.0,659.0
134,73819,73138.0,681.0
135,76336,75597.0,739.0
136,78115,77361.0,754.0
137,79754,78970.0,784.0
138,81944,81122.0,822.0
139,84417,83582.0,835.0
140,86987,86117.0,870.0
141,89078,88172.0,906.0
142,90796,89850.0,946.0
143,93936,92943.0,993.0
144,96489,95433.0,1056.0
145,99044,97966.0,1078.0
146,100822,99703.0,1119.0
147,102871,101728.0,1143.0
148,105959,104778.0,1181.0
149,108184,106946.0,1238.0
150,109627,108350.0,1277.0
151,110636,109325.0,1311.0
152,112441,111101.0,1340.0
153,114098,112657.0,1441.0
154,116350,114801.0,1549.0
155,118782,117087.0,1695.0
156,120585,118821.0,1764.0
157,122712,120911.0,1801.0
158,123914,122097.0,1817.0
159,124915,123006.0,1909.0
160,126393,124391.0,2002.0
161,128511,126436.0,2075.0
162,130458,128315.0,2143.0
163,131747,129509.0,2238.0
164,133708,131383.0,2325.0
165,134744,132397.0,2347.0
166,135778,133281.0,2497.0
167,137800,135203.0,2597.0
168,139175,136476.0,2699.0
169,140844,138015.0,2829.0
170,142083,139184.0,2899.0
171,143937,141000.0,2937.0
172,144604,141591.0,3013.0
173,145417,142251.0,3166.0
174,147353,144060.0,3293.0
175,149179,145743.0,3436.0
176,150815,147326.0,3489.0
177,152280,148681.0,3599.0
178,153115,149469.0,3646.0
179,154933,151250.0,3683.0
180,156329,152527.0,3802.0
181,157831,153898.0,3933.0
182,159546,155474.0,4072.0
183,160597,156398.0,4199.0
184,162362,158070.0,4292.0
185,164126,159795.0,4331.0
186,165109,160708.0,4401.0
187,165754,161344.0,4410.0
188,166587,162028.0,4559.0
189,168237,163515.0,4722.0
190,169859,165009.0,4850.0
191,170891,165922.0,4969.0
192,171824,166799.0,5025.0
193,174274,169130.0,5144.0
194,175231,169893.0,5338.0
195,177087,171574.0,5513.0
196,178140,172453.0,5687.0
197,180497,174637.0,5860.0
198,181439,175443.0,5996.0
199,183514,177394.0,6120.0
200,184409,178190.0,6219.0
201,185148,178759.0,6389.0
202,186709,180083.0,6626.0
203,187544,180793.0,6751.0
204,189454,182542.0,6912.0
205,190891,183856.0,7035.0
206,192995,185833.0,7162.0
207,193732,186499.0,7233.0
208,194611,187197.0,7414.0
209,196139,188505.0,7634.0
210,197432,189575.0,7857.0
211,198403,190388.0,8015.0
212,199595,191442.0,8153.0
213,201210,192906.0,8304.0
214,203699,195220.0,8479.0
215,205375,196623.0,8752.0
216,207455,198405.0,9050.0
217,209447,200103.0,9344.0
218,211003,201530.0,9473.0
219,212649,202956.0,9693.0
220,214717,204848.0,9869.0
221,217682,207669.0,10013.0
222,218829,208606.0,10223.0
223,220538,210016.0,10522.0
224,222827,212116.0,10711.0
225,223493,212682.0,10811.0
226,226139,215062.0,11077.0
227,228744,217412.0,11332.0
228,232061,220566.0,11495.0
229,233569,221884.0,11685.0
230,235861,223867.0,11994.0
231,237907,225658.0,12249.0
232,241513,228930.0,12583.0
233,244087,231171.0,12916.0
234,247587,234320.0,13267.0
235,249866,236518.0,13348.0
236,251774,238124.0,13650.0
237,254220,240198.0,14022.0
238,256880,242575.0,14305.0
239,259488,244886.0,14602.0
240,260672,245904.0,14768.0
241,261426,246563.0,14863.0
242,264587,249356.0,15231.0
243,266357,250991.0,15366.0
244,269802,254058.0,15744.0
245,271771,255720.0,16051.0
246,273144,256845.0,16299.0
247,278215,261202.0,17013.0
248,281851,264340.0,17511.0
249,287770,269747.0,18023.0
250,289749,271405.0,18344.0
251,293381,274508.0,18873.0
252,296725,277081.0,19644.0
253,300458,280117.0,20341.0
