,0
0,1
1,1
2,1
3,3
4,3
5,7
6,7
7,18
8,26
9,32
10,39
11,52
12,73
13,98
14,154
15,228
16,371
17,505
18,615
19,667
20,784
21,957
22,1203
23,1373
24,1537
25,1834
26,2239
27,2683
28,2845
29,3067
30,3321
31,3633
32,3802
33,4138
34,4362
35,4634
36,4862
37,5114
38,5308
39,5610
40,5823
41,6079
42,6262
43,6589
44,6762
45,7070
46,7238
47,7394
48,7842
49,8266
50,8726
51,9189
52,9667
53,9918
54,10052
55,10366
56,10735
57,11891
58,12661
59,13177
60,13571
61,13690
62,13938
63,14096
64,14441
65,14768
66,14985
67,15544
68,16111
69,16370
70,16699
71,16970
72,17288
73,17388
74,18011
75,18378
76,18532
77,18961
78,19394
79,19789
80,20145
81,20607
82,20965
83,21306
84,21679
85,22085
86,22566
87,23006
88,23554
89,24375
90,24822
91,25120
92,25520
93,26071
94,26381
95,26944
96,27575
97,28061
98,28538
99,29126
100,29541
101,30432
102,31160
103,31830
104,32143
105,32829
106,34017
107,34446
108,35102
109,35553
110,36303
111,37235
112,38034
113,39444
114,40172
115,40172
116,42297
117,43509
118,45315
119,46890
120,48712
121,50140
122,51431
123,52155
124,53514
125,55986
126,57591
127,59546
128,61006
129,61960
130,65274
131,66788
132,69061
133,71540
134,73819
135,76336
136,78115
137,79754
138,81944
139,84417
140,86987
141,89078
142,90796
143,93936
144,96489
