,total,confirmed,probable
0,,,
1,0.0,0.0,
2,0.0,0.0,
3,5.0,5.0,
4,5.0,5.0,
5,5.0,5.0,
6,12.0,12.0,
7,15.0,15.0,
8,18.0,18.0,
9,22.0,22.0,
10,22.0,22.0,
11,22.0,22.0,
12,56.0,56.0,
13,56.0,56.0,
14,63.0,63.0,
15,82.0,82.0,
16,108.0,108.0,
17,175.0,175.0,
18,235.0,235.0,
19,263.0,263.0,
20,287.0,287.0,
21,712.0,712.0,
22,975.0,975.0,
23,1394.0,1394.0,
24,1731.0,1731.0,
25,2048.0,2048.0,
26,2552.0,2552.0,
27,2874.0,2874.0,
28,3266.0,3266.0,
29,3996.0,3996.0,
30,4665.0,4665.0,
31,5324.0,5324.0,
32,6112.0,6112.0,
33,6793.0,6793.0,
34,7273.0,7273.0,
35,8261.0,8261.0,
36,9353.0,9353.0,
37,10230.0,10230.0,
38,11671.0,11671.0,
39,12561.0,12561.0,
40,13484.0,13484.0,
41,13906.0,13906.0,
42,14624.0,14624.0,
43,15492.0,15492.0,
44,16455.0,16455.0,
45,17371.0,17371.0,
46,18260.0,18260.0,
47,18923.0,18923.0,
48,19458.0,19458.0,
49,20196.0,20196.0,
50,21069.0,21069.0,
51,21944.0,21944.0,
52,22806.0,22806.0,
53,23773.0,23773.0,
54,24631.0,24631.0,
55,25297.0,25297.0,
56,26171.0,26171.0,
57,27054.0,27054.0,
58,28087.0,28087.0,
59,29229.0,29229.0,
60,30522.0,30522.0,
61,31548.0,31548.0,
62,32332.0,32332.0,
63,33369.0,33369.0,
64,34422.0,34422.0,
65,35390.0,35390.0,
66,36609.0,36609.0,
67,37860.0,37860.0,
68,38869.0,38869.0,
69,39869.0,39869.0,
70,41048.0,41048.0,
71,42403.0,42403.0,
72,43851.0,43851.0,
73,45198.0,45198.0,
74,46999.0,46999.0,
75,47784.0,47784.0,
76,48693.0,48693.0,
77,49912.0,49912.0,
78,51323.0,51323.0,
79,52268.0,52268.0,
80,53449.0,53449.0,
81,54509.0,54509.0,
82,55348.0,55348.0,
83,55971.0,55971.0,
84,56560.0,56560.0,
85,57921.0,57921.0,
86,59776.0,59776.0,
87,61006.0,61006.0,
88,62338.0,62338.0,
89,64287.0,64287.0,
90,64880.0,64880.0,
91,66568.0,66568.0,
92,68271.0,68271.0,
93,69920.0,69920.0,
94,71613.0,71613.0,
95,73553.0,73553.0,
96,74978.0,74978.0,
97,75616.0,75616.0,
98,77253.0,77253.0,
99,79757.0,79757.0,
100,81583.0,81583.0,
101,83680.0,83680.0,
102,86011.0,86011.0,
103,87854.0,87854.0,
104,89108.0,89108.0,
105,93206.0,93206.0,
106,96335.0,96335.0,
107,99851.0,99851.0,
108,103305.0,103305.0,
109,107735.0,107735.0,
110,111601.0,111601.0,
111,114881.0,114881.0,
112,120370.0,120370.0,
113,125921.0,125921.0,
114,131917.0,131917.0,
115,137624.0,137624.0,
116,143366.0,143366.0,
117,148723.0,148723.0,
118,153011.0,153011.0,
119,159986.0,159986.0,
120,168062.0,168062.0,
121,175977.0,175977.0,
122,183532.0,183532.0,
123,191790.0,191790.0,
124,195239.0,195239.0,
125,200557.0,200557.0,
126,210585.0,210585.0,
127,220564.0,220564.0,
128,230346.0,230346.0,
129,240111.0,240111.0,
130,250462.0,250462.0,
131,258658.0,258658.0,
132,264313.0,264313.0,
133,271574.0,271574.0,
134,282365.0,282365.0,
135,292656.0,292656.0,
136,307572.0,307572.0,
137,317730.0,317730.0,
138,325030.0,325030.0,
139,332434.0,332434.0,
140,341739.0,341739.0,
141,351618.0,351618.0,
142,361125.0,361125.0,
143,369826.0,369826.0,
144,375846.0,375846.0,
145,381656.0,381656.0,
146,385923.0,385923.0,
147,394265.0,394265.0,
148,403307.0,403307.0,
149,412107.0,412107.0,
150,420946.0,420946.0,
151,430485.0,430485.0,
152,436711.0,436711.0,
153,442014.0,442014.0,
154,451181.0,451181.0,
155,459887.0,459887.0,
156,467485.0,467485.0,
157,474524.0,474524.0,
158,481483.0,481483.0,
159,486362.0,486362.0,
160,490817.0,490817.0,
161,500620.0,500620.0,
162,506820.0,506820.0,
163,513575.0,513575.0,
164,520593.0,520593.0,
165,528838.0,528838.0,
166,535042.0,535042.0,
167,542950.0,542950.0,
168,550232.0,550232.0,
169,557256.0,557256.0,
170,562559.0,562559.0,
171,567580.0,567580.0,
172,573139.0,573139.0,
173,577537.0,577537.0,
174,580384.0,580384.0,
175,586730.0,586730.0,
176,592137.0,592137.0,
177,597737.0,597737.0,
178,601768.0,601768.0,
179,606530.0,606530.0,
180,610354.0,610354.0,
181,612969.0,612969.0,
182,617333.0,617333.0,
183,621667.0,621667.0,
184,625347.0,625347.0,
185,630829.0,630829.0,
186,635315.0,635315.0,
187,638310.0,638310.0,
188,640370.0,640370.0,
189,641791.0,641791.0,
190,645791.0,645791.0,
191,649809.0,649809.0,
192,653356.0,653356.0,
193,657589.0,657589.0,
194,659434.0,659434.0,
195,663404.0,663404.0,
196,668746.0,668746.0,
197,674772.0,674772.0,
198,678819.0,678819.0,
199,682241.0,682241.0,
200,686068.0,686068.0,
201,688534.0,688534.0,
202,698387.0,698387.0,
203,716207.0,716207.0,
204,719599.0,719599.0,
205,723919.0,723919.0,
206,728552.0,728552.0,
207,733438.0,733438.0,
208,735132.0,735132.0,
209,739222.0,739222.0,
210,743284.0,743284.0,
211,748967.0,748967.0,
212,752501.0,752501.0,
213,756004.0,756004.0,
214,763010.0,763010.0,
215,765894.0,765894.0,
216,769303.0,769303.0,
217,773435.0,773435.0,
218,777556.0,777556.0,
219,781794.0,781794.0,
220,785830.0,785830.0,
221,790060.0,790060.0,
222,792478.0,792478.0,
223,795126.0,795126.0,
224,800256.0,800256.0,
225,805082.0,805082.0,
226,809808.0,809808.0,
227,815678.0,815678.0,
228,820563.0,820563.0,
229,823779.0,823779.0,
230,825673.0,825673.0,
231,833557.0,833557.0,
232,838809.0,838809.0,
233,845100.0,845100.0,
234,851572.0,851572.0,
235,858071.0,858071.0,
236,862375.0,862375.0,
237,867075.0,867075.0,
238,874367.0,874367.0,
239,879994.0,879994.0,
240,886820.0,886820.0,
241,893451.0,893451.0,
242,900596.0,900596.0,
243,972330.0,904855.0,67475.0
244,977785.0,910038.0,67747.0
245,988450.0,918336.0,70114.0
246,998267.0,926400.0,71867.0
247,1008438.0,934994.0,73444.0
248,1017677.0,942539.0,75138.0
249,1027237.0,950549.0,76688.0
250,1034115.0,956234.0,77881.0
251,1038964.0,963019.0,75945.0
252,1051899.0,973970.0,77929.0
253,1065065.0,985380.0,79685.0
254,1075654.0,993841.0,81813.0
255,1089078.0,1004983.0,84095.0
