,0
0,5.0
1,5.0
2,5.0
3,12.0
4,15.0
5,18.0
6,22.0
7,22.0
8,22.0
9,56.0
10,56.0
11,63.0
12,82.0
13,108.0
14,175.0
15,235.0
16,263.0
17,287.0
18,712.0
19,975.0
20,1394.0
21,1731.0
22,2048.0
23,2552.0
24,2874.0
25,3266.0
26,3996.0
27,4665.0
28,5324.0
29,6112.0
30,6793.0
31,7273.0
32,8261.0
33,9353.0
34,10230.0
35,11671.0
36,12561.0
37,13484.0
38,13906.0
39,14624.0
40,15492.0
41,16455.0
42,17371.0
43,18260.0
44,18923.0
45,19458.0
46,20196.0
47,21069.0
48,21944.0
49,22806.0
50,23773.0
51,24631.0
52,25297.0
53,26171.0
54,27054.0
55,28087.0
56,29229.0
57,30522.0
58,31548.0
59,32332.0
60,33369.0
61,34422.0
62,35390.0
63,36609.0
64,37860.0
65,38869.0
66,39869.0
67,41048.0
68,42403.0
69,43851.0
70,45198.0
71,46999.0
72,47784.0
73,48693.0
74,49912.0
75,51323.0
76,52268.0
77,53449.0
78,54509.0
79,55348.0
80,55971.0
81,56560.0
82,57921.0
83,59776.0
84,61006.0
85,62338.0
86,64287.0
87,64880.0
88,66568.0
89,68271.0
90,69920.0
91,71613.0
92,73553.0
93,74978.0
94,75616.0
95,77253.0
96,79757.0
97,81583.0
98,83680.0
99,86011.0
100,87854.0
101,89108.0
102,93206.0
103,96335.0
104,99851.0
105,103305.0
106,107735.0
107,111601.0
108,114881.0
109,120370.0
110,125921.0
111,131917.0
112,137624.0
113,143366.0
114,148723.0
115,153011.0
116,159986.0
117,168062.0
118,175977.0
119,183532.0
120,191790.0
121,195239.0
122,200557.0
123,210585.0
124,220564.0
125,230346.0
126,240111.0
127,250462.0
128,258658.0
129,264313.0
130,271574.0
131,282365.0
132,292656.0
133,307572.0
134,317730.0
135,325030.0
