,total,confirmed,probable
0,1,,
1,1,,
2,1,,
3,2,,
4,2,,
5,4,,
6,6,,
7,6,,
8,28,,
9,39,,
10,51,,
11,63,,
12,78,,
13,112,,
14,136,,
15,181,,
16,257,,
17,299,,
18,346,,
19,402,,
20,480,,
21,602,,
22,719,,
23,806,,
24,887,,
25,1012,,
26,1074,,
27,1246,,
28,1428,,
29,1605,,
30,1675,,
31,1738,,
32,1846,,
33,1976,,
34,2102,,
35,2206,,
36,2303,,
37,2363,,
38,2412,,
39,2542,,
40,2683,,
41,2805,,
42,2931,,
43,3069,,
44,3213,,
45,3296,,
46,3445,,
47,3612,,
48,3782,,
49,3948,,
50,4123,,
51,4233,,
52,4343,,
53,4495,,
54,4672,,
55,4828,,
56,4981,,
57,5175,,
58,5317,,
59,5449,,
60,5595,,
61,5724,,
62,5919,,
63,6103,,
64,6251,,
65,6362,,
66,6432,,
67,6620,,
68,6749,,
69,6913,,
70,7068,,
71,7238,,
72,7384,,
73,7518,,
74,7710,,
75,7874,,
76,8057,,
77,8260,,
78,8392,,
79,8521,,
80,8620,,
81,8706,,
82,8921,,
83,9264,,
84,9533,,
85,9797,,
86,9999,,
87,10202,,
88,10497,,
89,10813,,
90,11252,,
91,11798,,
92,12066,,
93,12322,,
94,12559,,
95,12864,,
96,13252,,
97,13577,,
98,13981,,
99,14313,,
100,14608,,
101,14937,,
102,15344,,
103,15839,,
104,16425,,
105,17068,,
106,17462,,
107,17906,,
108,18300,,
109,18784,,
110,19374,,
111,20050,,
112,20628,,
113,21100,,
114,21664,,
115,22217,,
116,22716,,
117,23270,,
118,23866,,
119,24542,,
120,24952,,
121,25469,,
122,26033,,
123,26755,,
124,27356,,
125,28223,,
126,28855,,
127,29484,,
128,30030,,
129,30478,,
130,30891,,
131,31845,,
132,32572,,
133,33332,,
134,34117,,
135,34526,,
136,35012,,
137,35578,,
138,36099,,
139,36962,,
140,37623,,
141,37973,,
142,38409,,
143,38855,,
144,39194,,
145,39696,,
146,40196,,
147,40702,,
148,41175,,
149,41529,,
150,41907,,
151,42328,,
152,42915,,
153,43375,,
154,43751,,
155,44127,,
156,44390,,
157,44752,,
158,45090,,
159,45424,,
160,45976,,
161,46321,,
162,46652,,
163,46894,,
164,47157,,
165,47521,,
166,47982,,
167,48445,,
168,48814,,
169,49115,,
170,49364,,
171,49767,,
172,50174,,
173,50557,,
174,50948,,
175,51406,,
176,51854,,
177,52107,,
178,52403,,
179,52822,,
180,53326,,
181,53839,,
182,54272,,
183,54660,,
184,55033,,
185,55359,,
186,55673,,
187,56019,,
188,56675,,
189,57247,,
190,57875,,
191,58438,,
192,59000,,
193,59747,,
194,60658,,
195,61775,,
196,62852,,
197,63772,,
198,64394,,
199,65044,,
200,65921,,
201,67119,,
202,68530,,
203,69547,,
204,70615,,
205,71442,,
206,72136,,
207,73042,,
208,74050,,
209,75157,,
210,76225,,
211,77618,,
212,78723,,
213,79439,,
214,80446,,
215,81947,,
216,83290,,
217,84644,,
218,85844,,
219,86832,,
220,87819,,
221,88963,,
222,90461,,
223,91957,,
224,93297,,
225,94394,,
226,95562,,
227,96643,,
228,98006,,
229,99549,,
230,101509,,
231,103117,,
232,104882,,
233,106083,,
234,107228,,
235,108803,,
236,110640,,
237,112932,,
238,114656,,
239,116510,,
240,117706,,
241,119375,,
242,121485,,
243,124292,,
244,127279,,
245,130235,,
246,132621,,
247,134868,,
248,137385,,
249,139720,,
250,143639,,
251,145789,,
252,151141,,
253,153808,,
254,155779,,
255,158957,,
256,162028,,
257,165996,,
258,170584,,
259,173979,,
260,177176,,
261,179420,,
262,182121,,
263,183902,,
264,183902,,
265,190044,,
266,192087,,
267,193809,,
268,195706,,
269,198216,,
270,202220,,
271,206165,,
272,209170,,
273,212844,,
274,215407,,
275,217638,,
276,219971,,
277,222545,,
278,225946,,
279,228129,,
280,231821,,
281,233904,,
282,235872,,
283,237787,,
284,240715,,
285,243918,,
286,246562,,
287,248970,,
288,250964,,
289,252783,,
290,255085,,
291,257697,,
292,260589,,
293,260589,,
294,264078,,
295,264874,,
296,266590,,
297,269326,,
298,271940,,
299,276612,,
300,276612,,
301,281654,,
302,283473,,
303,285633,,
304,288951,,
305,292720,,
306,297317,,
307,301110,,
308,303723,,
309,305999,,
310,307483,,
311,309629,,
312,314817,,
313,317559,,
314,320102,,
315,322252,,
316,323837,,
317,324919,,
318,326221,,
319,328380,,
320,330469,,
321,333118,,
322,334889,,
323,336405,,
324,337264,,
325,338675,,
326,340684,,
327,342445,,
328,343962,,
329,345430,,
330,346624,,
331,347208,,
332,348409,,
333,350000,,
334,351273,,
335,352489,,
336,353700,,
337,354608,,
338,355122,,
339,356040,,
340,357339,,
341,358581,,
342,359641,,
343,360584,,
344,361294,,
345,361756,,
346,362347,,
347,363248,,
348,364399,,
349,365256,,
350,366034,,
351,366735,,
352,367073,,
353,367789,,
354,368601,,
355,369433,,
356,370084,,
357,370770,,
358,371235,,
359,371492,,
360,371979,,
361,372708,,
362,372708,,
363,373868,,
364,374438,,
365,374850,,
