,0
0,1
1,1
2,1
3,2
4,2
5,4
6,6
7,6
8,28
9,39
10,51
11,63
12,78
13,112
14,136
15,181
16,257
17,299
18,346
19,402
20,480
21,602
22,719
23,806
24,887
25,1012
26,1074
27,1246
28,1428
29,1605
30,1675
31,1738
32,1846
33,1976
34,2102
35,2206
36,2303
37,2363
38,2412
39,2542
40,2683
41,2805
42,2931
43,3069
44,3213
45,3296
46,3445
47,3612
48,3782
49,3948
50,4123
51,4233
52,4343
53,4495
54,4672
55,4828
56,4981
57,5175
58,5317
59,5449
60,5595
61,5724
62,5919
63,6103
64,6251
65,6362
66,6432
67,6620
68,6749
69,6913
70,7068
71,7238
72,7384
73,7518
74,7710
75,7874
76,8057
77,8260
78,8392
79,8521
80,8620
81,8706
82,8921
83,9264
84,9533
85,9797
86,9999
87,10202
88,10497
89,10813
90,11252
91,11798
92,12066
93,12322
94,12559
95,12864
96,13252
97,13577
98,13981
99,14313
100,14608
101,14937
102,15344
103,15839
104,16425
105,17068
106,17462
107,17906
108,18300
109,18784
110,19374
111,20050
112,20628
113,21100
114,21664
115,22217
116,22716
117,23270
118,23866
119,24542
120,24952
121,25469
122,26033
123,26755
124,27356
125,28223
126,28855
127,29484
128,30030
129,30478
130,30891
131,31845
132,32572
133,33332
