,total,confirmed,probable
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,0.0,,
39,0.0,,
40,0.0,,
41,2.0,,
42,3.0,,
43,8.0,,
44,9.0,,
45,17.0,,
46,30.0,,
47,30.0,,
48,45.0,,
49,51.0,,
50,67.0,,
51,77.0,,
52,94.0,,
53,114.0,,
54,152.0,,
55,219.0,,
56,254.0,,
57,290.0,,
58,391.0,,
59,460.0,,
60,604.0,,
61,739.0,,
62,890.0,,
63,1020.0,,
64,1250.0,,
65,1484.0,,
66,1706.0,,
67,2012.0,,
68,2407.0,,
69,2637.0,,
70,2878.0,,
71,3333.0,,
72,3645.0,,
73,4042.0,,
74,4509.0,,
75,5077.0,,
76,5274.0,,
77,5747.0,,
78,6171.0,,
79,6500.0,,
80,6889.0,,
81,7491.0,,
82,8053.0,,
83,8537.0,,
84,8990.0,,
85,9630.0,9451.0,179.0
86,10266.0,9952.0,314.0
87,10998.0,10627.0,371.0
88,11594.0,11169.0,425.0
89,12366.0,11902.0,464.0
90,12970.0,12488.0,482.0
91,13535.0,13036.0,499.0
92,14339.0,13794.0,545.0
93,14961.0,14328.0,633.0
94,15846.0,15180.0,666.0
95,16901.0,16109.0,792.0
96,17731.0,16979.0,752.0
97,18671.0,17873.0,798.0
98,19492.0,18640.0,852.0
99,20256.0,19357.0,899.0
100,20256.0,19357.0,899.0
101,21570.0,20537.0,1033.0
102,22342.0,21274.0,1068.0
103,23196.0,22086.0,1110.0
104,24081.0,22962.0,1119.0
105,25070.0,23889.0,1181.0
106,25800.0,24601.0,1199.0
107,26746.0,25431.0,1315.0
108,27813.0,26469.0,1344.0
109,28672.0,27293.0,1379.0
110,29683.0,28233.0,1450.0
111,30388.0,28901.0,1487.0
112,31140.0,29591.0,1549.0
113,32145.0,30539.0,1606.0
114,32908.0,31247.0,1661.0
115,34137.0,32428.0,1709.0
116,34950.0,33208.0,1742.0
117,35749.0,33962.0,1787.0
118,36244.0,34451.0,1793.0
119,37727.0,35890.0,1837.0
120,39342.0,37440.0,1902.0
121,40249.0,38276.0,1973.0
122,41401.0,39393.0,2008.0
123,42533.0,40477.0,2056.0
124,43611.0,41529.0,2082.0
125,44607.0,42499.0,2108.0
126,45398.0,43247.0,2151.0
127,46239.0,44069.0,2170.0
128,46905.0,44715.0,2190.0
129,47856.0,45620.0,2236.0
130,48532.0,46281.0,2251.0
131,49397.0,47123.0,2274.0
132,50681.0,48349.0,2332.0
133,51251.0,48879.0,2372.0
134,51738.0,49362.0,2376.0
