,0
0,2.0
1,3.0
2,8.0
3,9.0
4,17.0
5,30.0
6,30.0
7,45.0
8,51.0
9,67.0
10,77.0
11,94.0
12,114.0
13,152.0
14,219.0
15,254.0
16,290.0
17,391.0
18,460.0
19,604.0
20,739.0
21,890.0
22,1020.0
23,1250.0
24,1484.0
25,1706.0
26,2012.0
27,2407.0
28,2637.0
29,2878.0
30,3333.0
31,3645.0
32,4042.0
33,4509.0
34,5077.0
35,5274.0
36,5747.0
37,6171.0
38,6500.0
39,6889.0
40,7491.0
41,8053.0
42,8537.0
43,8990.0
44,9630.0
45,10266.0
46,10998.0
47,11594.0
48,12366.0
49,12970.0
50,13535.0
51,14339.0
52,14961.0
53,15846.0
54,16901.0
55,17731.0
56,18671.0
57,19492.0
58,20256.0
59,20256.0
60,21570.0
61,22342.0
62,23196.0
63,24081.0
64,25070.0
65,25800.0
66,26746.0
67,27813.0
68,28672.0
69,29683.0
70,30388.0
71,31140.0
72,32145.0
73,32908.0
74,34137.0
75,34950.0
76,35749.0
77,36244.0
78,37727.0
79,39342.0
80,40249.0
81,41401.0
82,42533.0
83,43611.0
84,44607.0
85,45398.0
86,46239.0
87,46905.0
88,47856.0
89,48532.0
90,49397.0
