,total,confirmed,probable
0,,,
1,,,
2,,,
3,,,
4,,,
5,1.0,1.0,0.0
6,1.0,1.0,0.0
7,1.0,1.0,0.0
8,1.0,1.0,0.0
9,2.0,2.0,0.0
10,2.0,2.0,0.0
11,5.0,5.0,0.0
12,8.0,8.0,0.0
13,12.0,12.0,0.0
14,17.0,17.0,0.0
15,19.0,19.0,0.0
16,21.0,21.0,0.0
17,28.0,28.0,0.0
18,44.0,44.0,0.0
19,52.0,52.0,0.0
20,76.0,76.0,0.0
21,97.0,97.0,0.0
22,125.0,125.0,0.0
23,160.0,160.0,0.0
24,185.0,185.0,0.0
25,213.0,213.0,0.0
26,234.0,234.0,0.0
27,256.0,256.0,0.0
28,293.0,293.0,0.0
29,320.0,320.0,0.0
30,359.0,359.0,0.0
31,390.0,390.0,0.0
32,460.0,460.0,0.0
33,512.0,512.0,0.0
34,543.0,543.0,0.0
35,575.0,575.0,0.0
36,608.0,608.0,0.0
37,631.0,631.0,0.0
38,680.0,680.0,0.0
39,713.0,713.0,0.0
40,733.0,733.0,0.0
41,754.0,754.0,0.0
42,761.0,761.0,0.0
43,770.0,770.0,0.0
44,779.0,779.0,0.0
45,792.0,792.0,0.0
46,802.0,802.0,0.0
47,813.0,813.0,0.0
48,817.0,817.0,0.0
49,820.0,820.0,0.0
50,828.0,828.0,0.0
51,831.0,831.0,0.0
52,834.0,834.0,0.0
53,843.0,843.0,0.0
54,852.0,852.0,0.0
55,855.0,855.0,0.0
56,862.0,862.0,0.0
57,862.0,862.0,0.0
58,866.0,866.0,0.0
59,879.0,879.0,0.0
60,885.0,885.0,0.0
61,896.0,896.0,0.0
62,901.0,901.0,0.0
63,906.0,906.0,0.0
64,909.0,909.0,0.0
65,914.0,914.0,0.0
66,916.0,916.0,0.0
67,918.0,918.0,0.0
68,926.0,926.0,0.0
69,926.0,926.0,0.0
70,927.0,927.0,0.0
71,929.0,929.0,0.0
72,930.0,930.0,0.0
73,931.0,931.0,0.0
74,932.0,932.0,0.0
75,940.0,940.0,0.0
76,940.0,940.0,0.0
77,944.0,944.0,0.0
78,945.0,945.0,0.0
79,950.0,950.0,0.0
80,952.0,952.0,0.0
81,954.0,954.0,0.0
82,957.0,957.0,0.0
83,963.0,963.0,0.0
84,968.0,968.0,0.0
85,970.0,970.0,0.0
86,974.0,974.0,0.0
87,975.0,975.0,0.0
88,977.0,977.0,0.0
89,981.0,981.0,0.0
90,985.0,985.0,0.0
91,987.0,987.0,0.0
92,989.0,989.0,0.0
93,1025.0,1025.0,0.0
94,1027.0,1027.0,0.0
95,1044.0,1044.0,0.0
96,1061.0,1061.0,0.0
97,1073.0,1073.0,0.0
98,1081.0,1081.0,0.0
99,1092.0,1092.0,0.0
100,1108.0,1108.0,0.0
101,1118.0,1118.0,0.0
102,1123.0,1123.0,0.0
