,total,confirmed,probable
0,,,
1,0.0,0.0,
2,0.0,0.0,
3,0.0,0.0,
4,0.0,0.0,
5,0.0,0.0,
6,1.0,1.0,
7,1.0,1.0,
8,2.0,2.0,
9,2.0,2.0,
10,2.0,2.0,
11,2.0,2.0,
12,2.0,2.0,
13,2.0,2.0,
14,2.0,2.0,
15,2.0,2.0,
16,2.0,2.0,
17,2.0,2.0,
18,2.0,2.0,
19,2.0,2.0,
20,2.0,2.0,
21,3.0,3.0,
22,3.0,3.0,
23,3.0,3.0,
24,5.0,5.0,
25,5.0,5.0,
26,5.0,5.0,
27,5.0,5.0,
28,5.0,5.0,
29,5.0,5.0,
30,5.0,5.0,
31,6.0,6.0,
32,7.0,7.0,
33,7.0,7.0,
34,7.0,7.0,
35,7.0,7.0,
36,7.0,7.0,
37,7.0,7.0,
38,7.0,7.0,
39,7.0,7.0,
40,7.0,7.0,
41,8.0,8.0,
42,9.0,9.0,
43,10.0,10.0,
44,12.0,12.0,
45,13.0,13.0,
46,15.0,15.0,
47,18.0,18.0,
48,26.0,26.0,
49,43.0,43.0,
50,59.0,59.0,
51,93.0,93.0,
52,117.0,117.0,
53,155.0,155.0,
54,206.0,206.0,
55,244.0,244.0,
56,282.0,282.0,
57,343.0,343.0,
58,405.0,405.0,
59,515.0,515.0,
60,648.0,648.0,
61,827.0,827.0,
62,1041.0,1041.0,
63,1197.0,1197.0,
64,1305.0,1305.0,
65,1605.0,1605.0,
66,1873.0,1873.0,
67,2163.0,2163.0,
68,2497.0,2497.0,
69,2801.0,2801.0,
70,2998.0,2998.0,
71,3190.0,3190.0,
72,3653.0,3653.0,
73,4091.0,4091.0,
74,4532.0,4532.0,
75,4967.0,4967.0,
76,5429.0,5429.0,
77,5716.0,5716.0,
78,5957.0,5957.0,
79,6525.0,6525.0,
80,6987.0,6987.0,
81,7439.0,7439.0,
82,7838.0,7838.0,
83,8254.0,8254.0,
84,8461.0,8461.0,
85,8632.0,8632.0,
86,9027.0,9027.0,
87,9440.0,9440.0,
88,9786.0,9786.0,
89,10149.0,10149.0,
90,10458.0,10458.0,
91,10613.0,10613.0,
92,10703.0,10703.0,
93,11074.0,11074.0,
94,11376.0,11376.0,
95,11705.0,11705.0,
96,12014.0,12014.0,
97,12361.0,12361.0,
98,12537.0,12537.0,
99,12633.0,12633.0,
100,12967.0,12967.0,
101,13235.0,13235.0,
102,13519.0,13519.0,
103,13794.0,13794.0,
104,14145.0,14145.0,
105,14311.0,14311.0,
106,14425.0,14425.0,
107,14795.0,14795.0,
108,15090.0,15090.0,
109,15418.0,15418.0,
110,15665.0,15665.0,
111,15983.0,15983.0,
112,16096.0,16096.0,
113,16181.0,16181.0,
114,16569.0,16569.0,
115,16828.0,16828.0,
116,17117.0,17117.0,
117,17383.0,17383.0,
118,17637.0,17637.0,
119,17763.0,17763.0,
120,17824.0,17824.0,
121,18118.0,18118.0,
122,18369.0,18369.0,
123,18681.0,18681.0,
124,18952.0,18952.0,
125,19234.0,19234.0,
126,19352.0,19352.0,
127,19416.0,19416.0,
128,19735.0,19735.0,
129,20034.0,20034.0,
130,20302.0,20302.0,
131,20599.0,20599.0,
132,20912.0,20912.0,
133,21063.0,21063.0,
134,21165.0,21165.0,
135,21314.0,21314.0,
136,21714.0,21714.0,
137,22065.0,22065.0,
138,22367.0,22367.0,
139,22711.0,22711.0,
140,22860.0,22860.0,
141,22960.0,22960.0,
142,23370.0,23370.0,
143,23787.0,23787.0,
144,24169.0,24169.0,
145,24496.0,24496.0,
146,24889.0,24889.0,
147,25052.0,25052.0,
148,25162.0,25162.0,
149,25672.0,25672.0,
150,26081.0,26081.0,
151,26452.0,26452.0,
152,26852.0,26852.0,
153,27242.0,27242.0,
154,27435.0,27435.0,
155,27571.0,27571.0,
156,28091.0,28091.0,
157,28585.0,28585.0,
158,29045.0,29045.0,
159,29587.0,29587.0,
160,30108.0,30108.0,
161,30423.0,30423.0,
162,30614.0,30614.0,
163,31338.0,31338.0,
164,31958.0,31956.0,2.0
165,32634.0,32632.0,2.0
166,33295.0,33292.0,3.0
167,33921.0,33916.0,5.0
168,34414.0,34409.0,5.0
169,34680.0,34675.0,5.0
170,35669.0,35664.0,5.0
171,36589.0,36582.0,7.0
172,37473.0,37466.0,7.0
173,38361.0,38354.0,7.0
174,38814.0,38807.0,7.0
175,39055.0,39048.0,7.0
176,39356.0,39349.0,7.0
177,40341.0,40332.0,9.0
178,41403.0,41394.0,9.0
179,42375.0,42364.0,11.0
180,43241.0,43226.0,15.0
181,44091.0,44074.0,17.0
182,44633.0,44616.0,17.0
183,44977.0,44960.0,17.0
184,46070.0,46048.0,22.0
185,47039.0,47016.0,23.0
186,48039.0,47998.0,41.0
187,48900.0,48849.0,51.0
188,49808.0,49743.0,65.0
189,50343.0,50278.0,65.0
190,50686.0,50620.0,66.0
191,51686.0,51617.0,69.0
192,52782.0,52706.0,76.0
193,53809.0,53726.0,83.0
194,54716.0,54608.0,108.0
195,55526.0,55408.0,118.0
196,56001.0,55882.0,119.0
197,56338.0,56217.0,121.0
198,57339.0,57202.0,137.0
199,58298.0,58149.0,149.0
200,59196.0,59029.0,167.0
201,59947.0,59771.0,176.0
202,60658.0,60456.0,202.0
203,61074.0,60870.0,204.0
204,61312.0,61107.0,205.0
205,62183.0,61960.0,223.0
206,63055.0,62811.0,244.0
207,63823.0,63567.0,256.0
208,64555.0,64287.0,268.0
209,65229.0,64948.0,281.0
210,65593.0,65307.0,286.0
211,65806.0,65516.0,290.0
212,66630.0,66330.0,300.0
213,67355.0,67036.0,319.0
214,67987.0,67647.0,340.0
215,68615.0,68263.0,352.0
216,69288.0,68911.0,377.0
217,69647.0,69266.0,381.0
218,69811.0,69429.0,382.0
219,70481.0,70088.0,393.0
220,71105.0,70699.0,406.0
221,71733.0,71302.0,431.0
222,72242.0,71780.0,462.0
223,72793.0,72306.0,487.0
224,73067.0,72579.0,488.0
225,73284.0,72794.0,490.0
226,73916.0,73414.0,502.0
227,74525.0,73989.0,536.0
228,75123.0,74555.0,568.0
229,75656.0,75042.0,614.0
230,76155.0,75490.0,665.0
231,76480.0,75809.0,671.0
232,76642.0,75966.0,676.0
233,77238.0,76522.0,716.0
234,77787.0,77041.0,746.0
235,78315.0,77523.0,792.0
236,78842.0,78034.0,808.0
237,79349.0,78503.0,846.0
238,79653.0,78795.0,858.0
239,79816.0,78949.0,867.0
240,80035.0,79157.0,878.0
241,80599.0,79694.0,905.0
242,81135.0,80197.0,938.0
243,81610.0,80649.0,961.0
244,82088.0,81096.0,992.0
245,82327.0,81327.0,1000.0
246,82465.0,81464.0,1001.0
247,82976.0,81937.0,1039.0
