,0
0,1.0
1,1.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,2.0
10,2.0
11,2.0
12,2.0
13,2.0
14,2.0
15,3.0
16,3.0
17,3.0
18,5.0
19,5.0
20,5.0
21,5.0
22,5.0
23,5.0
24,5.0
25,6.0
26,7.0
27,7.0
28,7.0
29,7.0
30,7.0
31,7.0
32,7.0
33,7.0
34,7.0
35,8.0
36,9.0
37,10.0
38,12.0
39,13.0
40,15.0
41,18.0
42,26.0
43,43.0
44,59.0
45,93.0
46,117.0
47,155.0
48,206.0
49,244.0
50,282.0
51,343.0
52,405.0
53,515.0
54,648.0
55,827.0
56,1041.0
57,1197.0
58,1305.0
59,1605.0
60,1873.0
61,2163.0
62,2497.0
63,2801.0
64,2998.0
65,3190.0
66,3653.0
67,4091.0
68,4532.0
69,4967.0
70,5429.0
71,5716.0
72,5957.0
73,6525.0
74,6987.0
75,7439.0
76,7838.0
77,8254.0
