,total,confirmed,probable
0,,,
1,1.0,1.0,
2,1.0,1.0,
3,1.0,1.0,
4,1.0,1.0,
5,1.0,1.0,
6,1.0,1.0,
7,2.0,2.0,
8,3.0,3.0,
9,9.0,8.0,1.0
10,23.0,19.0,4.0
11,23.0,19.0,4.0
12,37.0,33.0,4.0
13,56.0,47.0,9.0
14,83.0,72.0,11.0
15,121.0,106.0,15.0
16,174.0,155.0,19.0
17,235.0,206.0,29.0
18,315.0,281.0,34.0
19,425.0,385.0,40.0
20,466.0,416.0,50.0
21,525.0,457.0,68.0
22,667.0,585.0,82.0
23,806.0,707.0,99.0
24,969.0,842.0,127.0
25,1134.0,989.0,145.0
26,1276.0,1112.0,164.0
27,1422.0,1221.0,201.0
28,1585.0,1351.0,234.0
29,1821.0,1550.0,271.0
30,2040.0,1730.0,310.0
31,2263.0,1912.0,351.0
32,2476.0,2112.0,364.0
33,2643.0,2267.0,376.0
34,2866.0,2440.0,426.0
35,3064.0,2578.0,486.0
36,3279.0,2756.0,523.0
37,3443.0,2885.0,558.0
38,3665.0,3068.0,597.0
39,3822.0,3213.0,609.0
40,3964.0,3341.0,623.0
41,4080.0,3428.0,652.0
42,4246.0,3555.0,691.0
43,4453.0,3721.0,732.0
44,4636.0,3875.0,761.0
45,4839.0,4045.0,794.0
46,5013.0,4199.0,814.0
47,5176.0,4346.0,830.0
48,5353.0,4499.0,854.0
49,5509.0,4620.0,889.0
50,5766.0,4845.0,921.0
51,6011.0,5052.0,959.0
52,6364.0,5356.0,1008.0
53,6715.0,5687.0,1028.0
54,6963.0,5911.0,1052.0
55,7161.0,6081.0,1080.0
56,7391.0,6289.0,1102.0
57,7660.0,6520.0,1140.0
58,8052.0,6854.0,1198.0
59,8550.0,7314.0,1236.0
60,8920.0,7660.0,1260.0
61,9227.0,7964.0,1263.0
62,9538.0,8236.0,1302.0
63,9896.0,8566.0,1330.0
64,10262.0,8901.0,1361.0
65,10621.0,9215.0,1406.0
66,11030.0,9590.0,1440.0
67,11402.0,9939.0,1463.0
68,11694.0,10219.0,1475.0
69,11920.0,10418.0,1502.0
70,12131.0,10611.0,1520.0
71,12449.0,10902.0,1547.0
72,12869.0,11275.0,1594.0
73,13344.0,11685.0,1659.0
74,13878.0,12187.0,1691.0
75,14257.0,12543.0,1714.0
76,14442.0,12687.0,1755.0
77,14692.0,12885.0,1807.0
78,15269.0,13413.0,1856.0
79,15792.0,13885.0,1907.0
80,16340.0,14396.0,1944.0
81,16843.0,14877.0,1966.0
82,17253.0,15277.0,1976.0
83,17571.0,15584.0,1987.0
84,17867.0,15863.0,2004.0
85,18513.0,16462.0,2051.0
86,19077.0,16974.0,2103.0
87,19843.0,17707.0,2136.0
88,20382.0,18230.0,2152.0
89,20564.0,18403.0,2161.0
90,20736.0,18543.0,2193.0
91,21155.0,18917.0,2238.0
92,21661.0,19400.0,2261.0
93,22193.0,19892.0,2301.0
94,22599.0,20249.0,2350.0
95,22937.0,20571.0,2366.0
96,23212.0,20835.0,2377.0
97,23434.0,21038.0,2396.0
98,23734.0,21308.0,2426.0
99,24070.0,21593.0,2477.0
100,24441.0,21926.0,2515.0
101,24795.0,22246.0,2549.0
102,25089.0,22518.0,2571.0
103,25340.0,22758.0,2582.0
104,25546.0,22932.0,2614.0
105,25844.0,23198.0,2646.0
106,26129.0,23454.0,2675.0
107,26590.0,23876.0,2714.0
108,26913.0,24154.0,2759.0
109,27326.0,24539.0,2787.0
110,27615.0,24819.0,2796.0
111,27878.0,25068.0,2810.0
112,28175.0,25331.0,2844.0
113,28641.0,25763.0,2878.0
114,29105.0,26227.0,2878.0
115,29668.0,26747.0,2921.0
116,30227.0,27286.0,2941.0
117,30707.0,27743.0,2964.0
118,31033.0,28058.0,2975.0
119,31662.0,28659.0,3003.0
120,32225.0,29199.0,3026.0
121,32809.0,29738.0,3071.0
122,33431.0,30317.0,3114.0
123,34207.0,31055.0,3152.0
