,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,2.0
7,3.0
8,9.0
9,23.0
10,23.0
11,37.0
12,56.0
13,83.0
14,121.0
15,174.0
16,235.0
17,315.0
18,425.0
19,466.0
20,525.0
21,667.0
22,806.0
23,969.0
24,1134.0
25,1276.0
26,1422.0
27,1585.0
28,1821.0
29,2040.0
30,2263.0
31,2476.0
32,2643.0
33,2866.0
34,3064.0
35,3279.0
36,3443.0
37,3665.0
38,3822.0
39,3964.0
40,4080.0
41,4246.0
42,4453.0
43,4636.0
44,4839.0
45,5013.0
46,5176.0
47,5353.0
48,5509.0
49,5766.0
50,6011.0
51,6364.0
52,6715.0
53,6963.0
54,7161.0
55,7391.0
56,7660.0
57,8052.0
58,8550.0
59,8920.0
60,9227.0
61,9538.0
62,9896.0
63,10262.0
64,10621.0
65,11030.0
66,11402.0
67,11694.0
68,11920.0
69,12131.0
70,12449.0
71,12869.0
72,13344.0
73,13878.0
74,14257.0
75,14442.0
76,14692.0
77,15269.0
78,15792.0
79,16340.0
80,16843.0
81,17253.0
82,17571.0
83,17867.0
84,18513.0
85,19077.0
86,19843.0
