,total,confirmed,probable
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,1,1,
13,2,2,
14,7,7,
15,11,11,
16,12,12,
17,16,16,
18,20,20,
19,39,39,
20,51,51,
21,76,76,
22,96,96,
23,113,113,
24,126,126,
25,162,162,
26,191,191,
27,217,217,
28,237,237,
29,282,282,
30,324,324,
31,345,345,
32,412,412,
33,462,462,
34,523,523,
35,554,554,
36,577,577,
37,611,611,
38,626,626,
39,640,640,
40,702,702,
41,739,739,
42,754,754,
43,785,785,
44,863,863,
45,902,902,
46,914,914,
47,939,939,
48,967,967,
49,988,988,
50,1020,1020,
51,1044,1044,
52,1063,1063,
53,1079,1079,
54,1095,1095,
55,1118,1118,
56,1136,1136,
57,1169,1169,
58,1191,1191,
59,1206,1206,
60,1238,1238,
61,1248,1248,
62,1287,1287,
63,1310,1310,
64,1335,1335,
65,1360,1360,
66,1366,1366,
67,1371,1371,
68,1398,1398,
69,1427,1427,
70,1441,1441,
71,1457,1457,
72,1490,1490,
73,1491,1491,
74,1509,1509,
75,1545,1545,
76,1593,1593,
77,1616,1593,
78,1717,1593,
79,1759,1593,
80,1774,1593,
81,1854,1593,
82,1867,1593,
83,1906,1593,
84,1951,1593,
85,1974,1593,
86,2010,1593,
87,2017,1593,
88,2041,1593,
89,2071,1593,
90,2092,1593,
91,2119,2054,65.0
92,2131,2065,66.0
93,2144,2075,69.0
94,2153,2083,70.0
95,2169,2095,74.0
96,2188,2114,74.0
97,2212,2136,76.0
98,2233,2157,76.0
99,2259,2183,76.0
100,2289,2213,76.0
101,2298,2220,78.0
102,2341,2261,80.0
103,2376,2295,81.0
104,2418,2336,82.0
105,2435,2353,82.0
106,2486,2403,83.0
107,2543,2452,91.0
108,2552,2461,91.0
109,2582,2493,89.0
110,2629,2541,88.0
111,2661,2574,87.0
112,2712,2622,90.0
113,2761,2699,62.0
114,2817,2723,94.0
115,2870,2771,99.0
116,2905,2804,101.0
117,2932,2831,101.0
118,3053,2949,104.0
119,3126,3021,105.0
120,3141,3036,105.0
121,3262,3156,106.0
122,3442,3336,106.0
123,3461,3354,107.0
124,3707,3602,105.0
125,3826,3718,108.0
126,3983,3872,111.0
127,4074,3963,111.0
128,4207,4091,116.0
129,4259,4143,116.0
130,4407,4289,118.0
131,4557,4439,118.0
132,4657,4535,122.0
133,4783,4658,125.0
134,4894,4768,126.0
135,5042,4918,124.0
136,5142,5019,123.0
137,5199,5074,125.0
138,5206,5081,125.0
139,5550,5420,130.0
140,5695,5562,133.0
141,5821,5687,134.0
142,5960,5825,135.0
143,6054,5913,141.0
144,6173,6033,140.0
145,6326,6187,139.0
146,6422,6284,138.0
147,6642,6502,140.0
148,6735,6595,140.0
149,6854,6713,141.0
150,6973,6829,144.0
151,7051,6902,149.0
152,7159,7008,151.0
153,7277,7123,154.0
154,7433,7277,156.0
155,7563,7406,157.0
156,7694,7536,158.0
157,7754,7596,158.0
158,7875,7713,162.0
159,8008,7844,164.0
160,8151,7985,166.0
161,8274,8104,170.0
162,8457,8289,168.0
163,8564,8393,171.0
164,8632,8462,170.0
165,8731,8557,174.0
166,8801,8623,178.0
167,8982,8806,176.0
168,9066,8890,176.0
169,9185,9010,175.0
170,9272,9097,175.0
171,9312,9137,175.0
172,9395,9219,176.0
173,9540,9364,176.0
174,9633,9458,175.0
175,9824,9644,180.0
176,9967,9784,183.0
177,10110,9928,182.0
178,10250,10066,184.0
179,10507,10321,186.0
180,10642,10453,189.0
181,10845,10653,192.0
182,11037,10846,191.0
183,11289,11093,196.0
184,11412,11214,198.0
185,11575,11368,207.0
186,11661,11448,213.0
187,11808,11564,244.0
188,12017,11753,264.0
189,12174,11900,274.0
190,12521,12225,296.0
191,12699,12403,296.0
192,12820,12519,301.0
193,12976,12672,304.0
194,13196,12881,315.0
195,13430,13109,321.0
196,13683,13353,330.0
197,13874,13542,332.0
198,14054,13717,337.0
199,14171,13830,341.0
200,14384,14044,340.0
201,14504,14160,344.0
202,14706,14339,367.0
203,14953,14577,376.0
204,15158,14750,408.0
205,15348,14935,413.0
206,15512,15086,426.0
207,15692,15248,444.0
208,15848,15393,455.0
209,16024,15559,465.0
210,16307,15834,473.0
211,16468,15971,497.0
212,16628,16132,496.0
213,16742,16251,491.0
214,16936,16423,513.0
215,17139,16596,543.0
216,17325,16776,549.0
217,17707,17129,578.0
218,17913,17310,603.0
219,18128,17519,609.0
220,18281,17668,613.0
221,18555,17908,647.0
222,18818,18124,694.0
223,19082,18360,722.0
224,19580,18718,862.0
225,19801,18903,898.0
226,20081,19142,939.0
227,20293,19328,965.0
228,20519,19513,1006.0
229,20734,19664,1070.0
230,21057,19907,1150.0
231,21392,20191,1201.0
232,21712,20427,1285.0
233,21906,20567,1339.0
234,22223,20814,1409.0
235,22706,21160,1546.0
236,23064,21409,1655.0
237,23466,21743,1723.0
238,23990,22188,1802.0
239,24460,22575,1885.0
240,24883,22919,1964.0
241,25235,23219,2016.0
242,25593,23446,2147.0
243,25987,23750,2237.0
244,26547,24199,2348.0
245,27087,24672,2415.0
246,27742,25178,2400.0
247,28404,25715,2689.0
248,28805,26010,2795.0
249,29316,26311,3005.0
250,30201,26951,3250.0
251,30897,27487,3410.0
252,31639,28076,3563.0
253,32792,29004,3788.0
254,33659,29700,3959.0
255,34460,30384,4076.0
256,35324,31058,4266.0
257,36277,31821,4456.0
258,37399,32754,4645.0
259,38480,33668,4812.0
260,39598,34591,5007.0
261,40478,35292,5186.0
262,41114,35778,5336.0
263,42083,36525,5558.0
264,43050,37304,5746.0
265,44180,38147,6033.0
266,45046,38829,6217.0
267,45845,39514,6331.0
268,46997,40209,6788.0
269,47842,40847,6995.0
270,48818,41561,7257.0
271,49905,42269,7636.0
272,51025,43097,7928.0
273,52172,44058,8114.0
274,53572,45253,8319.0
275,54997,46326,8671.0
276,56128,47242,8886.0
277,57060,47976,9084.0
278,58462,48999,9463.0
279,59695,50016,9679.0
280,60637,50804,9833.0
281,62151,52020,10000.0
282,63217,52826,10391.0
283,64394,53741,10653.0
284,65701,54695,11013.0
285,66849,55536,11313.0
286,68485,56877,11608.0
287,69751,57853,11898.0
288,71215,59025,12190.0
289,72342,59889,12453.0
290,73337,60678,12659.0
291,74737,61660,13077.0
292,75936,62419,13517.0
293,77239,63518,13721.0
294,78836,64718,14118.0
295,80177,65833,14344.0
296,80710,66295,14415.0
297,81436,66631,14805.0
298,82773,67437,15336.0
299,84225,68394,15831.0
300,85334,69506,15828.0
301,87820,71250,16570.0
302,89327,72463,16864.0
303,91058,73829,17229.0
304,91886,74329,17557.0
305,93162,75114,18048.0
306,94678,76067,18611.0
307,96002,77233,18769.0
308,97898,78838,19060.0
309,99778,80408,19370.0
