,0
0,1
1,10
2,53
3,88
4,130
5,147
6,198
7,255
8,264
9,294
10,341
11,373
12,424
13,473
14,529
15,582
16,617
17,644
18,765
19,838
20,853
21,974
22,1154
23,1173
24,1419
25,1538
26,1695
27,1786
28,1919
29,1971
30,2119
31,2269
32,2369
33,2495
34,2606
35,2754
36,2854
37,2911
38,2918
39,3262
40,3407
41,3533
42,3672
43,3766
44,3885
45,4038
46,4134
47,4354
48,4447
49,4566
50,4685
51,4763
52,4871
53,4989
54,5145
55,5275
56,5406
57,5466
58,5587
59,5720
60,5863
61,5986
62,6169
63,6276
64,6344
65,6443
66,6513
67,6694
68,6778
69,6897
70,6984
71,7024
72,7107
73,7252
74,7345
75,7536
76,7679
77,7822
78,7962
79,8219
80,8354
81,8557
82,8749
83,9001
84,9124
85,9287
86,9373
87,9520
88,9729
89,9886
90,10233
91,10411
92,10532
93,10688
94,10908
95,11142
96,11395
97,11586
98,11766
99,11883
100,12096
101,12216
102,12418
103,12665
104,12870
105,13060
106,13224
107,13404
108,13560
109,13736
110,14019
111,14180
112,14340
113,14454
114,14648
115,14851
116,15037
117,15419
118,15625
119,15840
120,15993
121,16267
122,16530
123,16794
124,17292
125,17513
126,17793
127,18005
128,18231
129,18446
130,18769
131,19104
132,19424
133,19618
134,19935
135,20418
136,20776
137,21178
138,21702
139,22172
140,22595
141,22947
142,23305
143,23699
144,24259
145,24799
146,25454
147,26116
148,26517
149,27028
150,27913
151,28609
152,29351
153,30504
154,31371
155,32172
156,33036
157,33989
158,35111
159,36192
160,37310
161,38190
162,38826
163,39795
164,40762
165,41892
166,42758
167,43557
168,44709
169,45554
170,46530
171,47617
172,48737
173,49884
174,51284
175,52709
176,53840
177,54772
178,56174
179,57407
180,58349
181,59863
182,60929
183,62106
184,63413
185,64561
186,66197
187,67463
188,68927
189,70054
190,71049
191,72449
192,73648
193,74951
194,76548
195,77889
196,78422
197,79148
198,80485
199,81937
200,83046
201,85532
202,87039
203,88770
204,89598
205,90874
206,92390
207,93714
208,95610
209,97490
210,98924
