,total,confirmed,probable
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,0.0,,
7,0.0,,
8,0.0,,
9,0.0,,
10,0.0,,
11,1.0,1.0,
12,1.0,2.0,
13,2.0,2.0,
14,3.0,3.0,
15,3.0,3.0,
16,10.0,11.0,
17,15.0,16.0,
18,18.0,18.0,
19,19.0,22.0,
20,23.0,24.0,
21,24.0,26.0,
22,26.0,28.0,
23,29.0,30.0,
24,44.0,49.0,
25,53.0,53.0,
26,70.0,73.0,
27,82.0,84.0,
28,86.0,87.0,
29,94.0,95.0,
30,109.0,120.0,
31,130.0,137.0,
32,150.0,153.0,
33,162.0,162.0,
34,187.0,187.0,
35,197.0,200.0,
36,210.0,210.0,
37,216.0,216.0,
38,303.0,230.0,73.0
39,320.0,239.0,81.0
40,340.0,253.0,87.0
41,343.0,261.0,82.0
42,364.0,270.0,94.0
43,373.0,275.0,98.0
44,383.0,282.0,101.0
45,393.0,288.0,105.0
46,401.0,296.0,105.0
47,412.0,305.0,107.0
48,422.0,309.0,113.0
49,426.0,313.0,113.0
50,428.0,317.0,111.0
51,441.0,322.0,119.0
52,447.0,326.0,121.0
53,453.0,332.0,121.0
54,473.0,349.0,124.0
55,491.0,362.0,129.0
56,502.0,370.0,132.0
57,520.0,389.0,131.0
58,536.0,396.0,140.0
59,544.0,404.0,140.0
60,559.0,415.0,144.0
61,566.0,420.0,146.0
62,579.0,429.0,150.0
63,586.0,435.0,151.0
64,596.0,444.0,152.0
65,604.0,452.0,152.0
66,631.0,479.0,152.0
67,635.0,483.0,152.0
68,644.0,490.0,154.0
69,653.0,495.0,158.0
70,662.0,504.0,158.0
71,669.0,510.0,159.0
72,675.0,513.0,162.0
73,688.0,523.0,165.0
74,701.0,529.0,172.0
75,716.0,541.0,175.0
76,741.0,559.0,182.0
77,754.0,566.0,188.0
78,766.0,577.0,189.0
79,776.0,583.0,193.0
80,787.0,596.0,191.0
81,801.0,608.0,193.0
82,803.0,608.0,195.0
83,813.0,615.0,198.0
84,838.0,638.0,200.0
85,843.0,644.0,199.0
86,850.0,648.0,202.0
87,860.0,653.0,207.0
88,876.0,667.0,209.0
89,891.0,682.0,209.0
90,898.0,688.0,210.0
91,903.0,693.0,210.0
92,910.0,700.0,210.0
93,912.0,701.0,211.0
94,915.0,703.0,212.0
95,921.0,709.0,212.0
96,933.0,721.0,212.0
97,939.0,726.0,213.0
98,947.0,734.0,213.0
99,960.0,748.0,212.0
100,970.0,760.0,210.0
101,980.0,768.0,212.0
102,1009.0,793.0,216.0
103,1027.0,811.0,216.0
104,1050.0,832.0,218.0
105,1060.0,841.0,219.0
106,1079.0,856.0,223.0
107,1089.0,866.0,223.0
108,1114.0,884.0,230.0
109,1144.0,906.0,238.0
110,1173.0,927.0,246.0
111,1179.0,930.0,249.0
112,1197.0,947.0,250.0
