,0
0,1.0
1,1.0
2,2.0
3,3.0
4,3.0
5,10.0
6,15.0
7,18.0
8,19.0
9,23.0
10,24.0
11,26.0
12,29.0
13,44.0
14,53.0
15,70.0
16,82.0
17,86.0
18,94.0
19,109.0
20,130.0
21,150.0
22,162.0
23,187.0
24,197.0
25,210.0
26,216.0
27,303.0
28,320.0
29,340.0
30,343.0
31,364.0
32,373.0
33,383.0
34,393.0
35,401.0
36,412.0
37,422.0
38,426.0
39,428.0
40,441.0
41,447.0
42,453.0
43,473.0
44,491.0
45,502.0
46,520.0
47,536.0
48,544.0
49,559.0
50,566.0
51,579.0
52,586.0
53,596.0
54,604.0
55,631.0
56,635.0
57,644.0
58,653.0
59,662.0
60,669.0
61,675.0
62,688.0
63,701.0
64,716.0
65,741.0
66,754.0
67,766.0
68,776.0
69,787.0
70,801.0
71,803.0
72,813.0
73,838.0
74,843.0
75,850.0
76,860.0
77,876.0
78,891.0
79,898.0
80,903.0
81,910.0
82,912.0
83,915.0
84,921.0
85,933.0
86,939.0
87,947.0
88,960.0
89,970.0
90,980.0
91,1009.0
92,1027.0
93,1050.0
94,1060.0
95,1079.0
96,1089.0
97,1114.0
98,1144.0
99,1173.0
100,1179.0
101,1197.0
102,1230.0
103,1254.0
104,1282.0
105,1326.0
106,1368.0
107,1392.0
108,1417.0
109,1450.0
110,1487.0
111,1514.0
112,1550.0
113,1582.0
114,1606.0
115,1634.0
116,1675.0
117,1711.0
118,1740.0
119,1774.0
120,1790.0
121,1839.0
122,1862.0
123,1904.0
124,1951.0
125,1985.0
126,2026.0
127,2069.0
128,2108.0
129,2126.0
130,2187.0
131,2238.0
132,2288.0
133,2347.0
134,2405.0
135,2446.0
136,2475.0
137,2520.0
138,2589.0
139,2628.0
140,2686.0
141,2726.0
142,2769.0
