R0|k|cases
1.4958336884968308|0.33863867178992857|[1, 2, 3, 5, 8, 20, 31, 42, 75, 136, 221, 354, 541, 854, 1372, 2201, 3487, 5617, 8997]
2.1588952026408768|0.4496026426968035|[1, 1, 2, 5, 6, 7, 8, 9, 12, 16, 17, 23, 34, 45, 55, 74, 99, 141, 202]
4.984084532295409|0.24564977779687727|[1, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5]
1.3614940041221426|0.5613217403323062|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.898504325201537|0.35284761550445687|[1, 1, 1, 1, 1, 1, 2, 4, 4, 5, 8, 9, 12, 12, 14, 18, 21, 23, 29]
2.310158034335282|0.5292405988904548|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 5, 6, 9, 10, 13, 17]
3.3347877361884777|0.1609687214686256|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.546678445001225|0.5840114748626176|[1, 1, 1, 1, 2, 4, 4, 5, 5, 6, 6, 9, 12, 15, 17, 20, 25, 29, 33]
2.5306222099809226|0.21545582524237153|[1, 2, 2, 4, 6, 6, 8, 10, 11, 12, 16, 19, 27, 35, 47, 59, 78, 94, 137]
2.5048797273895844|0.5678494452393378|[1, 1, 1, 2, 2, 2, 2, 2, 4, 6, 10, 12, 15, 17, 21, 30, 39, 58, 76]
1.996226475524883|0.2205371866249102|[1, 1, 1, 2, 5, 5, 5, 5, 9, 16, 18, 27, 35, 56, 82, 118, 160, 217, 316]
3.649016812653541|0.5070215005447024|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 5, 5, 5, 7, 7, 13]
1.4780987949931474|0.30229364863557795|[1, 1, 1, 1, 2, 2, 2, 4, 6, 9, 14, 28, 39, 67, 105, 175, 272, 440, 682]
1.2935156920782571|0.5950045101729129|None
4.522676716351228|0.13673512457492074|[1, 1, 1, 1, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
1.1483463386947284|0.4788433028430251|None
3.267220781953146|0.49799741569776623|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
3.114633437196653|0.5419654689637844|[1, 1, 1, 3, 6, 8, 12, 16, 23, 30, 40, 48, 53, 70, 92, 111, 134, 162, 210]
3.7975462960835413|0.33526095363259334|[1, 2, 2, 2, 2, 2, 3, 3, 3, 4, 6, 6, 7, 11, 11, 11, 14, 18, 20]
4.393967541699864|0.5473731681536343|[1, 2, 3, 4, 6, 7, 7, 7, 9, 9, 10, 11, 12, 13, 16, 16, 19, 25, 29]
4.691513128971268|0.458498963765936|[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
2.607371229297517|0.5126450601189466|[1, 1, 2, 2, 3, 6, 7, 8, 8, 10, 10, 11, 11, 12, 14, 15, 19, 21, 22]
4.880135025967508|0.4137808985685745|[1, 1, 1, 2, 5, 5, 5, 6, 8, 10, 11, 12, 13, 18, 21, 29, 33, 36, 41]
3.1503607445614668|0.44921736382008903|[1, 4, 4, 4, 4, 5, 8, 14, 18, 23, 32, 41, 50, 63, 82, 103, 137, 192, 251]
3.6539502085527715|0.2850162172749964|[1, 1, 1, 1, 1, 1, 2, 2, 3, 5, 5, 6, 7, 9, 10, 10, 11, 14, 16]
3.2084678782889755|0.5701906033301333|[1, 3, 4, 6, 8, 11, 14, 20, 27, 32, 41, 52, 70, 85, 108, 126, 160, 208, 270]
3.5475845905192402|0.4109009094288596|[1, 1, 1, 3, 3, 3, 3, 3, 4, 5, 6, 7, 9, 11, 12, 15, 18, 30, 33]
2.4890320407748363|0.24881950008436235|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.01468032330056|0.4362892790832874|[1, 1, 2, 3, 3, 4, 5, 8, 8, 9, 10, 10, 15, 19, 22, 29, 38, 44, 60]
1.459144208068082|0.14377534805170902|[1, 2, 2, 3, 5, 11, 15, 27, 45, 65, 98, 157, 250, 390, 625, 1022, 1649, 2669, 4337]
1.2811598350680402|0.4890522862454294|None
1.9799634310811252|0.3939414091543778|[1, 2, 2, 3, 4, 4, 6, 8, 9, 15, 19, 23, 32, 45, 63, 92, 132, 187, 272]
3.224547358003001|0.12638116816929876|[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
3.6418126889918243|0.5551704266628054|[1, 1, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 15, 18, 21, 26, 29, 35, 40]
2.0442410639317266|0.4729587850706395|[1, 1, 1, 1, 1, 1, 2, 3, 6, 10, 14, 18, 26, 34, 58, 86, 134, 191, 277]
3.6421417766046718|0.298110633929242|[1, 1, 2, 2, 2, 2, 2, 4, 5, 5, 5, 5, 6, 7, 9, 9, 13, 16, 20]
3.270901816304466|0.1357380106068802|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
3.0994223865624213|0.277738937491103|[1, 1, 2, 3, 5, 8, 8, 9, 14, 19, 24, 34, 46, 67, 84, 110, 148, 193, 240]
4.806061221589844|0.16633695772955906|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 5, 6, 6, 7, 7, 8]
1.5397314289956463|0.14994143222776432|None
3.5411874171996054|0.5097429244674502|[1, 1, 2, 3, 3, 4, 4, 7, 8, 10, 14, 15, 20, 32, 43, 58, 67, 79, 99]
4.961217285403816|0.3140922393929295|[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 5]
2.6204206921918423|0.3687350304330216|[1, 1, 1, 2, 2, 6, 7, 9, 15, 18, 28, 36, 49, 68, 90, 118, 147, 192, 272]
4.526654182384257|0.5370876032658917|[1, 2, 4, 5, 7, 7, 7, 8, 10, 12, 18, 23, 32, 41, 50, 59, 71, 82, 93]
4.742754328594331|0.546714961641619|[1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6]
4.7808884495171995|0.12629546626325025|[1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 5, 7, 7, 7, 8, 8, 10]
2.0196279522650444|0.17898553471105125|[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 5, 5, 6, 8, 10, 15, 15, 17]
4.200485909970979|0.2495703775835735|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2.413340678507358|0.1178347799039767|[1, 2, 5, 9, 11, 19, 30, 41, 52, 72, 102, 133, 169, 223, 298, 402, 552, 744, 963]
4.619780059244516|0.2392338692192956|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2.3736782795026063|0.16057181344381447|[1, 1, 1, 1, 2, 2, 2, 2, 2, 5, 7, 9, 13, 19, 22, 31, 37, 48, 62]
3.076023347107354|0.4540676120285969|[1, 1, 1, 2, 2, 2, 2, 3, 6, 6, 8, 11, 12, 19, 25, 35, 46, 63, 90]
4.497452333183762|0.20258155587998308|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3]
3.08555134485862|0.23671882878927916|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
3.9321456418017897|0.25473698368771147|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
1.7254855679950252|0.34821268357368207|[1, 2, 4, 6, 9, 17, 35, 58, 80, 138, 199, 322, 516, 839, 1363, 2147, 3361, 5255, 8225]
1.988322802080071|0.5341628711346911|[1, 1, 1, 2, 3, 3, 4, 7, 9, 11, 17, 19, 32, 45, 66, 96, 134, 189, 280]
3.7341479372635407|0.3431085350777263|[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
1.196402296074559|0.5578435608097052|None
1.7224717153190174|0.5160151584228803|[1, 1, 1, 2, 3, 4, 7, 12, 17, 20, 27, 36, 52, 82, 123, 185, 282, 409, 583]
4.455321170299908|0.1401355873176083|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
3.0218470967918916|0.5712584707539307|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2.0831019620176416|0.49101712817535603|[1, 2, 4, 9, 13, 21, 39, 60, 83, 119, 181, 272, 402, 584, 856, 1215, 1769, 2526, 3655]
1.5654568909301858|0.5293718161520632|[1, 1, 2, 3, 5, 6, 7, 9, 16, 22, 34, 47, 66, 103, 136, 203, 319, 491, 775]
3.4669308971373662|0.28174625736037817|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4]
1.2485732034466541|0.17441444522996022|None
2.9599151889457525|0.14349191971615013|[1, 2, 3, 3, 4, 5, 7, 11, 17, 23, 29, 42, 58, 83, 109, 136, 179, 229, 300]
1.638894121144372|0.2189626988991151|[1, 2, 3, 4, 5, 6, 8, 10, 14, 22, 30, 41, 58, 88, 119, 173, 257, 388, 611]
4.733814548751825|0.5695493678760234|[1, 2, 2, 3, 5, 5, 5, 5, 5, 8, 8, 8, 8, 8, 8, 9, 9, 10, 11]
1.9311403724907605|0.10031579319759018|[1, 1, 1, 1, 2, 2, 5, 8, 18, 26, 37, 53, 78, 108, 146, 204, 283, 399, 579]
3.071593679085859|0.3973667496008154|[1, 1, 1, 2, 2, 3, 4, 6, 8, 10, 13, 19, 25, 31, 35, 40, 52, 72, 94]
4.002332871133097|0.25468522584122233|[1, 1, 1, 1, 1, 3, 4, 5, 6, 6, 6, 6, 10, 15, 19, 23, 24, 26, 31]
1.8023269351500986|0.5779970435141674|[1, 3, 5, 11, 17, 29, 44, 69, 113, 167, 269, 406, 633, 972, 1473, 2229, 3487, 5422, 8370]
2.888962993502777|0.4767220336968193|[1, 1, 2, 2, 2, 3, 5, 6, 7, 9, 12, 13, 17, 19, 21, 25, 34, 46, 68]
4.191804576438106|0.12346371630335093|[1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 5, 6, 7, 9, 9, 12, 15, 17, 20]
1.2041383009119464|0.19249362259344124|None
2.583158540201786|0.5606574557512432|[1, 1, 2, 2, 3, 4, 5, 5, 6, 7, 10, 15, 16, 23, 30, 43, 52, 76, 106]
4.596485859231302|0.3036239156942687|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.211019450846258|0.13309571762533604|[1, 2, 3, 4, 4, 6, 7, 8, 9, 10, 10, 12, 18, 26, 33, 39, 44, 54, 64]
2.0266898024854676|0.29959556898494166|[1, 1, 2, 3, 8, 15, 21, 26, 43, 70, 106, 161, 231, 354, 530, 801, 1158, 1702, 2485]
3.7892442015190984|0.39695990287574145|[1, 1, 1, 2, 3, 6, 6, 7, 8, 8, 9, 12, 17, 18, 23, 31, 38, 47, 55]
2.526680806657173|0.5966838774681468|[1, 1, 2, 2, 3, 3, 3, 4, 5, 7, 12, 15, 24, 35, 42, 56, 77, 102, 134]
1.0884754016417628|0.2507092349307828|None
4.755648897690708|0.42254457142702284|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
3.2386056608656824|0.5286463642427418|[1, 1, 1, 2, 2, 2, 3, 6, 7, 9, 11, 11, 15, 19, 26, 29, 38, 52, 67]
3.9518551884279263|0.26061227741800563|[1, 1, 1, 1, 2, 3, 4, 4, 5, 6, 10, 11, 13, 14, 18, 20, 23, 24, 30]
4.966198557570154|0.4452975019103268|[1, 1, 2, 2, 3, 5, 5, 5, 5, 7, 8, 8, 8, 10, 10, 11, 12, 14, 17]
2.2599649294078423|0.5976302599871886|[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
4.620971815702344|0.28689416424671055|[1, 2, 2, 2, 2, 4, 5, 7, 7, 8, 10, 15, 17, 18, 21, 24, 30, 38, 44]
1.458112454128329|0.1325494243512608|[1, 2, 5, 6, 8, 14, 27, 51, 76, 122, 194, 311, 485, 803, 1291, 2113, 3497, 5696, 9396]
4.698826035828951|0.1557791466863039|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
1.861177231685728|0.564451214122002|[1, 1, 2, 3, 3, 4, 6, 11, 16, 25, 41, 61, 100, 150, 243, 357, 537, 842, 1344]
4.990036762143106|0.5947933882953139|[1, 3, 5, 7, 8, 8, 10, 17, 21, 26, 30, 32, 35, 42, 48, 57, 68, 78, 102]
4.316383717352078|0.5484908905879656|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.226615904575485|0.1606759002332481|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 5, 6]
1.0833867154094134|0.37933492742689123|[1, 2, 2, 3, 3, 6, 10, 18, 29, 58, 109, 212, 408, 741, 1334, 2388, 4359, 7977, 14886]
4.315600599337522|0.24677040039855688|[1, 1, 2, 3, 6, 6, 7, 7, 8, 15, 19, 21, 27, 33, 39, 44, 54, 66, 78]
4.3822612416932065|0.4060208540795317|[1, 2, 2, 2, 4, 5, 10, 16, 21, 27, 34, 41, 47, 55, 63, 75, 86, 100, 120]
1.4769089987333777|0.598920048141726|None
3.550256336379295|0.32656024411422946|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
