R0|k|cases
3.4616121954029007|0.2657970372570213|[1, 1, 2, 3, 5, 6, 7, 8, 10, 12, 17, 21, 26, 31, 41, 52, 66, 79, 92]
3.34696810442813|0.46147720302716744|[1, 1, 1, 1, 1, 2, 2, 3, 4, 4, 4, 5, 6, 6, 6, 9, 11, 18, 24]
2.149649293795261|0.599472485108441|[1, 1, 2, 6, 8, 13, 18, 26, 38, 61, 94, 132, 188, 278, 396, 541, 749, 1019, 1426]
4.987324412605947|0.30862164483950383|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4.884237592120186|0.540563733627795|[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
2.068202252118144|0.13739582900989208|[1, 1, 2, 4, 5, 7, 11, 14, 21, 33, 43, 64, 87, 126, 172, 239, 344, 492, 703]
3.398341460572854|0.5278657948944052|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
1.8216228510446024|0.2642527354069317|[1, 1, 3, 3, 4, 6, 12, 21, 37, 62, 102, 160, 230, 351, 531, 785, 1172, 1838, 2820]
2.217026222774693|0.22436162731910106|[1, 3, 4, 6, 7, 9, 13, 19, 26, 35, 52, 73, 112, 164, 231, 353, 515, 761, 1057]
4.1136367148368205|0.32317084246222727|[1, 1, 1, 3, 3, 4, 4, 4, 4, 4, 7, 8, 8, 9, 10, 13, 18, 24, 28]
4.559296576166814|0.17390729962236842|[1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
4.512561019511029|0.2669617029233|[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 6, 8, 8, 10, 14]
2.2971099327055997|0.476008227656585|[1, 2, 4, 8, 12, 15, 21, 28, 35, 44, 59, 69, 91, 127, 167, 239, 346, 484, 665]
3.897695962410696|0.11821063675007673|[1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5]
2.621203777630651|0.11949606835187263|[1, 1, 2, 2, 4, 5, 6, 12, 15, 19, 24, 32, 40, 55, 78, 112, 166, 229, 314]
2.5154674800322963|0.48742292963170886|[1, 1, 1, 1, 1, 4, 6, 9, 16, 22, 32, 46, 72, 111, 144, 198, 268, 377, 534]
4.865087898173487|0.5699842501496997|[1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 4, 4, 5, 6, 7, 11, 11, 12, 14]
4.977156169860113|0.2520794081790402|[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 7, 11]
4.168842305576408|0.4238376281229924|[1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 8, 9, 13, 14, 20, 22, 31]
4.8218326703750165|0.17667530383048016|[1, 1, 1, 2, 3, 3, 3, 3, 4, 5, 6, 7, 8, 10, 16, 17, 19, 20, 23]
1.4526758993332005|0.3054166007629211|[1, 1, 1, 1, 2, 3, 3, 10, 17, 33, 55, 94, 151, 246, 402, 656, 1046, 1688, 2715]
2.6755697823107747|0.39050081844448015|[1, 1, 1, 2, 2, 2, 3, 5, 5, 8, 11, 15, 19, 24, 33, 48, 71, 94, 124]
1.6812303112729383|0.16278599144348857|[1, 2, 2, 4, 7, 13, 22, 34, 49, 79, 132, 205, 319, 508, 774, 1240, 1977, 3176, 5095]
1.6958650509672188|0.30876484053288245|[1, 1, 2, 2, 2, 2, 3, 4, 5, 7, 10, 19, 28, 44, 58, 85, 124, 194, 289]
2.88722976637583|0.3323817753846189|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4, 5, 6, 7, 9, 15, 16]
1.5420396608280056|0.147111636896768|[1, 1, 3, 4, 7, 11, 17, 28, 44, 62, 97, 150, 243, 400, 643, 1081, 1787, 2957, 4815]
